Código,Descrição
A,"Agricultura, Pecuária, Produção Florestal, Pesca e AqÜIcultura"
B,Indústrias Extrativas
C,Indústrias de Transformação
D,Eletricidade e Gás
E,"Água, Esgoto, Atividades de Gestão de Resíduos e Descontaminação"
F,Construção
G,"Comércio, Reparação de Veículos Automotores e Motocicletas"
H,"Transporte, Armazenagem e Correio"
I,Alojamento e Alimentação
J,Informação e Comunicação
K,"Atividades Financeiras, de Seguros e Serviços Relacionados"
L,Atividades Imobiliárias
M,"Atividades Profissionais, Científicas e Técnicas"
N,Atividades Administrativas e Serviços Complementares
O,"Administração Pública, Defesa e Seguridade Social"
P,Educação
Q,Saúde Humana e Serviços Sociais
R,"Artes, Cultura, Esporte e Recreação"
S,Outras Atividades de Serviços
T,Serviços Domésticos
U,Organismos Internacionais e Outras Instituições Extraterritoriais
Z,Não identificado
